DetailID,BuySellNo,GradeID,InvoiceDesc,SWeight,SWeightUOM,SPrice,SPriceUOM,SAmount,PPrice,PUOM,PAmount,PWeight,PWeightUOM,SCurrencyCd,SFxAmount,PCurrencyCd,PFxAmount,Color,DesignatedCpID,SPo,PPo,LotNo,UnitType,Units,Comment,IsReceived,IsItemReceived
298,51808,803,PP Tubs & Lids,14752,L,0.14,L,2065.28,0.08,L,1173.76,14672,L         ,USD,2065.28,USD,1173.76,          ,,11673,4808,                         , ,0,,NULL,NULL
299,51808,842,Mixed Rigid Plastics - Grade A,25040,L,0.1,L,2504,0.07,L,1752.8,25040,L         ,USD,2504,USD,1752.8,          ,,11673,4808,                         , ,0,,NULL,NULL
300,51809,10041,Plastic Dunnage With Staples and Wood,10478,L,0.1,L,1047.8,0.01,L,104.78,10478,L         ,USD,1047.8,USD,104.78,          ,,11680,4809,                         , ,0,,NULL,NULL
301,51810,10091,Clear PS Regrind,0,L,0,L,0,0.16,L,0,0,L         ,USD,0,USD,0,          ,,               ,4810,                         ,X,1,,NULL,NULL
302,51811,10091,Clear PS Regrind,0,L,0,L,0,0.16,L,0,0,L         ,USD,0,USD,0,          ,,               ,4810,                         ,X,1,,NULL,NULL
303,51812,818,HDPE INJECTION 5-10MI,0,L,0.2,L,0,0.05,L,0,0,L         ,USD,0,USD,0,          ,,11674,4811,                         , ,0,,NULL,NULL
304,51744,10003,TRASH - NO VALUE,26254,L,0,L,0,0,L,0,0,L         ,USD,0,USD,0,          ,,11617,4751,                         , ,0,,NULL,NULL
305,51813,907,HDPE Injection Grade B,1975,L,0.07,L,138.25,0.015,L,29.63,1975,L         ,USD,138.25,USD,29.63,          ,,11675,4812,                         , ,0,,NULL,NULL
306,51813,10041,PP COPOLYMER INJ 5-10MI,635,L,0.15,L,95.25,0.015,L,9.53,635,L         ,USD,95.25,USD,9.53,          ,,11675,4812,                         , ,0,,NULL,NULL
307,51813,784,HDPE RIGIDS GRADE B,6550,L,0,L,0,0.015,L,98.25,6550,L         ,USD,0,USD,98.25,          ,,11675,4812,                         , ,0,,NULL,NULL
308,51814,931,LDPE Film Grade A,30564,L,0.14,L,4278.96,0.09,L,2750.76,30564,L         ,USD,4278.96,USD,2750.76,          ,,11676,4813,                         ,B,0,,NULL,NULL
309,51760,10036,HDPE HMW EXT 8-16HLMI,2565,L,0.24,L,615.6,0.055,L,141.08,2565,L         ,USD,615.6,USD,141.08,          ,,11632,4768,                         , ,0,,NULL,NULL
310,51760,737,HDPE STRUCT FOAM 5-10MI,4265,L,0.19,L,810.35,0.055,L,234.58,4265,L         ,USD,810.35,USD,234.58,          ,,11632,4768,                         , ,0,,NULL,NULL
311,51760,812,IGPS SKIDS,5920,L,0,L,0,0,L,0,5920,L         ,USD,0,USD,0,          ,,11632,4768,                         , ,0,,NULL,NULL
312,51795,10061,PC-ABS W/ Attachments,470,L,0,L,0,0,L,0,470,L         ,USD,0,USD,0,          ,,11659,4796,                         , ,0,,NULL,NULL
313,51795,10003,Crosslink Contaminated Material,915,L,-0.1,L,-91.5,0,L,0,915,L         ,USD,-91.5,USD,0,          ,,11659,4796,                         , ,0,,NULL,NULL
314,51786,10033,HDPE IGPS Pallets Recovered,350,L,0,U,0,900,U,0,0,L         ,USD,0,USD,0,          ,,11653,4788,                         , ,0,,NULL,NULL
315,51786,831,HMW W/Non Conform Attach,945,L,0.24,L,226.8,900,U,0,0,L         ,USD,226.8,USD,0,          ,,               ,4788,                         , ,0,,NULL,NULL
316,51786,10013,HDPE Rigids Grade B,1525,L,0.02,L,30.5,900,U,0,0,L         ,USD,30.5,USD,0,          ,,               ,4788,                         , ,0,,NULL,NULL
317,51786,738,HDPE Injection (Low Melt),1725,L,0.13,L,224.25,900,U,0,0,L         ,USD,224.25,USD,0,          ,,               ,4788,                         , ,0,,NULL,NULL
318,51786,10080,PP Co-Polymer Scrap,9975,L,0.15,L,1496.25,900,U,0,0,L         ,USD,1496.25,USD,0,          ,,               ,4788,                         , ,0,,NULL,NULL
319,51815,936,HDPE Toters - Roll Out Bins (Wheels/Axles Removed),6940,L,0.075,L,520.5,-0.03,L,-208.2,6940,L         ,USD,520.5,USD,-208.2,          ,,11677,4815,                         ,X,0,,NULL,NULL
320,51816,10088,Mixed Bumpers,23775,L,0.15,L,3566.25,0.045,L,1071.9,23820,L         ,USD,3566.25,USD,1071.9,          ,,11678,4816,                         ,B,18,,NULL,NULL
321,51764,738,HDPE INJECTION 1-5MI,5150,L,0.13,L,669.5,0,L,0,0,L         ,USD,669.5,USD,0,          ,,11636,4772,                         , ,0,,NULL,NULL
322,51764,907,HDPE Injection Grade B,695,L,0.07,L,48.65,0,L,0,0,L         ,USD,48.65,USD,0,          ,,11636,4772,                         , ,0,,NULL,NULL
323,51780,738,HDPE INJECTION 1-5MI,21895,L,0.13,L,2846.35,0.015,L,328.43,21895,L         ,USD,2846.35,USD,328.43,          ,,11650,4785,                         , ,0,,NULL,NULL
325,51817,10036,HMW W/NON-CONFORM. ATTACH.,4897,L,0.24,L,1175.28,0.015,L,73.46,4897,L         ,USD,1175.28,USD,73.46,          ,,11679,4817,                         , ,0,,NULL,NULL
326,51817,10041,PP COPOLYMER INJ 5-10MI,565,L,0.15,L,84.75,0.015,L,8.48,565,L         ,USD,84.75,USD,8.48,          ,,11679,4817,                         , ,0,,NULL,NULL
