PayableID,BuySellNo,ItemID,CpID,Amount,FxAmount,CurrencyCd,InvoiceNo,InvoiceDt,RcvDt,Posted,IsCheck,CheckNo,APBatchNo,Reference_Date,GLAcct
500739,51666,NULL,1685,5225.48,5225.48,USD,109032,2019-02-06 00:00:00,2019-02-22 00:00:00,1,NULL,NULL,102921,NULL,50100
500741,51668,NULL,1607,3888,3888,USD,50031,2019-01-29 00:00:00,2019-02-15 00:00:00,1,NULL,NULL,102906,NULL,50100
500744,51688,NULL,1323,2058,2058,USD,FEB2010014,2019-02-05 00:00:00,2019-02-22 00:00:00,1,NULL,NULL,102915,NULL,50100
500750,51697,NULL,1139,468,468,USD,6690,2019-02-12 00:00:00,2019-02-18 00:00:00,1,NULL,NULL,102908,NULL,50100
500783,51696,10018,1495,700,700,USD,34600322-1,2019-02-20 00:00:00,2019-03-08 00:00:00,1,NULL,NULL,102940,NULL,50200
500785,51695,10019,1495,700,700,USD,34845628-1,2019-02-19 00:00:00,2019-03-08 00:00:00,1,NULL,NULL,102943,NULL,50200
500796,51698,10020,1534,425,425,USD,137955,2019-02-19 00:00:00,2019-03-11 00:00:00,1,NULL,NULL,102952,NULL,50200
500800,51679,NULL,1785,233.4,233.4,USD,4699 / 51679,2019-01-26 00:00:00,2019-01-26 00:00:00,1,NULL,NULL,102927,NULL,50100
500802,51676,NULL,1298,8087,8087,USD,4697 / 51676,2019-02-01 00:00:00,2019-02-15 00:00:00,1,NULL,NULL,102904,NULL,50100
500821,51694,NULL,1775,-168.72,-168.72,USD,51694,2019-02-13 00:00:00,2019-02-13 00:00:00,1,NULL,NULL,102907,NULL,50100
500851,51681,NULL,1256,258.86,258.86,USD,146110,2019-02-05 00:00:00,2019-02-28 00:00:00,1,NULL,NULL,102926,NULL,50100
500864,51694,NULL,1775,168.72,168.72,USD,U-51694,2019-02-13 00:00:00,2019-02-13 00:00:00,1,NULL,NULL,102909,NULL,50100
500865,51694,NULL,1775,-168.72,-168.72,USD,51694 / 4714,2019-02-19 00:00:00,2019-02-19 00:00:00,1,NULL,NULL,102910,2019-02-13 00:00:00,50100
500868,51694 / 4714,10022,1775,168.72,168.72,USD,AP-OFFSET,2019-02-19 00:00:00,2019-02-19 00:00:00,1,NULL,NULL,102910,NULL,NULL
500871,51685,NULL,1786,291.6,291.6,USD,4705 / 51685,2019-02-07 00:00:00,2019-02-07 00:00:00,1,NULL,NULL,102928,NULL,50100
500873,51687,NULL,1323,230.4,230.4,USD,FEB2010009,2019-02-04 00:00:00,2019-02-22 00:00:00,1,NULL,NULL,102914,NULL,50100
500880,51683,10023,1534,227.38,227.38,USD,138032,2019-02-21 00:00:00,2019-03-27 00:00:00,1,NULL,NULL,102997,NULL,50200
500892,51727,10024,1553,664,664,USD,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,50200
500917,51702,10025,1181,1300,1300,USD,140460,2019-02-22 00:00:00,2019-03-08 00:00:00,1,NULL,NULL,102948,NULL,50200
500923,51718,10026,1181,1340,1340,USD,140539,2019-02-26 00:00:00,2019-03-11 00:00:00,1,NULL,NULL,102951,NULL,50200
500930,51730,10028,1534,475,475,USD,127988,2019-02-21 00:00:00,2019-03-08 00:00:00,1,NULL,NULL,102944,NULL,50200
500971,51731,10029,1177,475,475,USD,11888874,2019-02-25 00:00:00,2019-03-06 00:00:00,1,NULL,NULL,102933,NULL,50200
500973,51732,10030,1177,475,475,USD,11916525,2019-02-25 00:00:00,2019-03-06 00:00:00,1,NULL,NULL,102934,NULL,50200
500975,51733,10031,1177,450,450,USD,11888936,2019-02-25 00:00:00,2019-03-08 00:00:00,1,NULL,NULL,102945,NULL,50200
500992,51723,10032,1553,998,998,USD,1398656,2019-02-25 00:00:00,2019-03-08 00:00:00,1,NULL,NULL,102939,NULL,50200
500996,51725,10033,1495,400,400,USD,34923924-1,2019-03-07 00:00:00,2019-04-26 00:00:00,1,NULL,NULL,103073,NULL,50200
501001,51711,NULL,1797,200,200,USD,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,50100
501012,51728,10034,1181,1300,1300,USD,140461,2019-02-27 00:00:00,2019-04-16 00:00:00,1,NULL,NULL,103046,NULL,50200
501024,51722,10035,1181,1030,1030,USD,140429,2019-02-28 00:00:00,2019-03-08 00:00:00,1,NULL,NULL,102947,NULL,50200
501035,51692,NULL,1298,18551.25,18551.25,USD,20055,2019-02-07 00:00:00,2019-02-22 00:00:00,1,NULL,NULL,102913,NULL,50100
501045,51739,10036,1177,930,930,USD,12000875,2019-03-18 00:00:00,2019-04-03 00:00:00,1,NULL,NULL,103006,NULL,50200
501057,51717,10037,1534,450,450,USD,138092,2019-02-27 00:00:00,2019-03-12 00:00:00,1,NULL,NULL,102953,NULL,50200
501061,51716,10038,1534,450,450,USD,138091,2019-02-27 00:00:00,2019-03-12 00:00:00,1,NULL,NULL,102955,NULL,50200
501162,51715,10039,1534,300,300,USD,138127,2019-03-08 00:00:00,2019-03-27 00:00:00,1,NULL,NULL,102998,NULL,50200
501269,51734,10040,1553,1160,1160,USD,4743 / 51734,2019-03-04 00:00:00,2019-03-22 00:00:00,1,NULL,NULL,102990,NULL,50200
501282,51729,10041,1181,1390,1390,USD,140430,2019-03-04 00:00:00,2019-03-15 00:00:00,1,NULL,NULL,102967,NULL,50200
501327,51733,NULL,1313,859.2,859.2,USD,1766,2019-02-25 00:00:00,2019-02-28 00:00:00,1,NULL,NULL,102924,NULL,50100
501332,51732,NULL,1313,866.4,866.4,USD,1766,2019-02-25 00:00:00,2019-02-28 00:00:00,1,NULL,NULL,102923,NULL,50100
501334,51731,NULL,1313,841.6,841.6,USD,1766,2019-02-25 00:00:00,2019-02-28 00:00:00,1,NULL,NULL,102922,NULL,50100
501350,51690,NULL,1417,17128,17128,USD,4710 / 51690,2019-02-01 00:00:00,2019-02-28 00:00:00,1,NULL,NULL,102930,NULL,50100
501351,51659,NULL,1680,271.6,271.6,USD,4679 / 51659,2019-01-24 00:00:00,2019-02-28 00:00:00,1,NULL,NULL,102931,NULL,50100
501354,51670,NULL,1698,1108,1108,USD,4691,2019-01-25 00:00:00,2019-02-28 00:00:00,1,NULL,NULL,102932,NULL,50100
501357,51696,NULL,1794,356.2,356.2,USD,10364,2019-02-20 00:00:00,2019-03-06 00:00:00,1,NULL,NULL,102936,NULL,50100
501401,51749,10042,1495,775,775,USD,34974259-1,2019-03-04 00:00:00,2019-03-22 00:00:00,1,NULL,NULL,102989,NULL,50200
501408,51695,NULL,1794,442.4,442.4,USD,10363,2019-02-19 00:00:00,2019-03-06 00:00:00,1,NULL,NULL,102937,NULL,50100
501441,51720,10043,1553,1200,1200,USD,1402169,2019-03-06 00:00:00,2019-03-21 00:00:00,1,NULL,NULL,102981,NULL,50200
501465,51687-JCH,10044,1553,664,664,USD,1397511,2019-03-04 00:00:00,2019-03-08 00:00:00,1,NULL,NULL,102949,NULL,50200
501472,51713,10045,1553,886,886,USD,1402409,2019-03-06 00:00:00,2019-03-06 00:00:00,1,NULL,NULL,103117,NULL,50200
501520,51725,10046,1495,2000,2000,USD,34974257-1,2019-03-07 00:00:00,2019-04-03 00:00:00,1,NULL,NULL,103003,NULL,50200
501569,51699,10048,1620,700,700,USD,603570,2019-03-08 00:00:00,2019-04-24 00:00:00,1,NULL,NULL,103068,NULL,50200
501598,51700,10051,1620,700,700,USD,603574,2019-03-11 00:00:00,2019-04-26 00:00:00,1,NULL,NULL,103074,NULL,50200
501661,51698,NULL,1795,272.96,272.96,USD,20590-101,2019-02-19 00:00:00,2019-03-06 00:00:00,1,NULL,NULL,102935,NULL,50100
501693,51752,10056,1534,950,950,USD,138255,2019-03-08 00:00:00,2019-04-03 00:00:00,1,NULL,NULL,103007,NULL,50200
501703,51738,10058,1139,-315.76,-315.76,USD,6750,2019-02-26 00:00:00,2019-02-26 00:00:00,1,NULL,NULL,102968,NULL,50200
501706,51677,10059,1181,850,850,USD,140596,2019-03-07 00:00:00,2019-03-15 00:00:00,1,NULL,NULL,102966,NULL,50200
501708,51678,10060,1181,850,850,USD,140694,2019-03-07 00:00:00,2019-03-20 00:00:00,1,NULL,NULL,102977,NULL,50200
501745,51725,10061,1292,-1450,-1450,USD,2428,2019-03-07 00:00:00,2019-03-07 00:00:00,1,NULL,NULL,102974,NULL,50200
501760,51753,10062,1611,1200,1200,USD,123391,2019-03-13 00:00:00,2019-04-03 00:00:00,1,NULL,NULL,103005,NULL,50200
501766,51754,10063,1611,1200,1200,USD,123496,2019-03-27 00:00:00,2019-04-09 00:00:00,1,NULL,NULL,103016,NULL,50200
501774,51756,10064,1629,842,842,USD,4001983,2019-03-11 00:00:00,2019-04-16 00:00:00,1,NULL,NULL,103047,NULL,50200
501780,51722,NULL,1669,206.74,206.74,USD,657559,2019-02-28 00:00:00,2019-03-08 00:00:00,1,NULL,NULL,102938,NULL,50100
501783,51738,NULL,1139,2526.08,2526.08,USD,6750,2019-02-26 00:00:00,2019-02-26 00:00:00,1,NULL,NULL,102968,NULL,50100
501802,51761,10065,1181,1100,1100,USD,140642,2019-03-13 00:00:00,2019-03-22 00:00:00,1,NULL,NULL,102988,NULL,50200
501805,51713,10066,1553,1150,1150,USD,1402409,2019-03-06 00:00:00,2019-03-06 00:00:00,1,NULL,NULL,103117,NULL,50200
501844,51737,10068,1629,1500,1500,USD,3991811,2019-02-07 00:00:00,2019-03-21 00:00:00,1,NULL,NULL,102979,NULL,50200
501852,51724,10069,1495,1200,1200,USD,35063450-1,2019-03-11 00:00:00,2019-04-03 00:00:00,1,NULL,NULL,103009,NULL,50200
501897,51662,NULL,1428,1029.1,1029.1,USD,4683 /51662,2019-01-29 00:00:00,2019-03-08 00:00:00,1,NULL,NULL,102941,NULL,50100
