ref,role,user_id,alias,name-check (internal),name,street,street2,city,state_id,zip,country
1882,"Customer,Expense",,INDORAMA VENTURES,TRUE,INDORAMA VENTURES,1764 Wilkinson Street,,Athens,AL,35611,United States
2089,"Supplier,Expense",Lindsey Malyavko,ALLSTAR RECYCLING PARTNERS LLC,TRUE,ALLSTAR RECYCLING PARTNERS LLC,PO Box 3629,,Muscle Shoals,AL,35662,United States
1943,Supplier,,DECATUR RECYCLING DEPT,TRUE,DECATUR RECYCLING DEPT,625 Landfill Drive,VENDOR #4446,Trinity,AL,35673,United States
1925,Supplier,Igor Beylin,SSWA RECYCLING,TRUE,SSWA RECYCLING,721 Hwy 43 South,,Tuscumbia,AL,35674,United States
1512,"Supplier,Expense",Ricardo Pereira,EWS ALABAMA INC,TRUE,EWS ALABAMA INC,402 Webster Chapel Road,,Glencoe,AL,35905,United States
2283,"Supplier,Expense",Tiffany White,FORT PAYNE RECYCLING,TRUE,FORT PAYNE RECYCLING,406 Logan St SE,,Fort Payne,AL,35967,United States
1646,"Customer,Expense",,JET POLYMER RECYCLING INC,TRUE,JET POLYMER RECYCLING INC,4811 Gault Ave North,,Fort Payne,AL,35967,United States
1114,"Customer,Supplier",,KW PLASTICS,TRUE,KW PLASTICS,279 Pike County Lake Rd,,Troy,AL,36079,United States
1476,Expense,,KW PLASTICS WAREHOUSE,TRUE,KW PLASTICS WAREHOUSE,279 Pike County Lake Rd,,Troy,AL,36079,United States
1552,"Customer,Expense",,ABM POLYMERS INC,TRUE,ABM POLYMERS INC,1410 Emerald Mountain Parkway,,Wetumpka,AL,36093,United States
2014,Supplier,Tiffany White,WASTE RECYCLING,TRUE,WASTE RECYCLING,824 N. Decatur St.,,Montgomery,AL,36104,United States
1443,Customer,,UNITED PLASTIC RECYCLING INC,TRUE,UNITED PLASTIC RECYCLING INC,P.O. Box 11671,,"Montgomery,",AL,36111,United States
2408,"Customer,Supplier,Expense",Tiffany White,INZI CONTROLS ALABAMA,TRUE,INZI CONTROLS ALABAMA,375 Alabama Hwy 203,,Elba,AL,36323,United States
2161,"Supplier,Expense",,SESSIONS PEANUTS,TRUE,SESSIONS PEANUTS,PO Box 311310,,Enterprise,AL,36331,United States
2444,"Supplier,Expense",Tiffany White,CITY OF GULF SHORES,TRUE,CITY OF GULF SHORES,19901 W 36th Ave,,Gulf Shores,AL,36542,United States
2296,"Supplier,Expense",Lindsey Malyavko,MITCHELL CONTAINER SERVICES INC,TRUE,MITCHELL CONTAINER SERVICES INC,226 Saraland Boulevard South,,Saraland,AL,36571,United States
2132,"Supplier,Expense",,EARTH RESOURCES RECYCLING,TRUE,EARTH RESOURCES RECYCLING,5545 Linwood Steiner Rd,,Theodore,AL,36582,United States
2286,"Supplier,Expense",Arthur Buyanovskiy,GOODWILL GULF COAST INC,TRUE,GOODWILL GULF COAST INC,2440 Gordon Smith Drive,,Mobile,AL,36617,United States
