ReceiptID,BuySellNo,Amount,FxAmount,CurrencyCd,CheckNo,PaymentDt,EntryDt,DiscountAmt,LedgerID,PostingType,Reference,DepositDate,ARBatchNo
10040,51763,2612.4,2612.4,USD,CK 96554,2019-04-10 00:00:00,2019-04-10 00:00:00,0,NULL,CRE,,NULL,1773
10041,51751,4086.6,4086.6,USD,CK 96554,2019-04-10 00:00:00,2019-04-10 00:00:00,0,NULL,CRE,,NULL,1773
10042,51702,2089,2089,USD,CK 655873,2019-04-10 00:00:00,2019-04-10 00:00:00,0,NULL,CRE,,NULL,1774
10043,51734,2422.75,2422.75,USD,CK 655873,2019-04-10 00:00:00,2019-04-10 00:00:00,0,NULL,CRE,,NULL,1774
10044,51722,2204.03,2204.03,USD,CK 655873,2019-04-10 00:00:00,2019-04-10 00:00:00,0,NULL,CRE,,NULL,1774
10045,51749,1789.05,1789.05,USD,CK 655873,2019-04-10 00:00:00,2019-04-10 00:00:00,0,NULL,CRE,,NULL,1774
10046,51729,6065.55,6065.55,USD,CK 102171,2019-04-10 00:00:00,2019-04-10 00:00:00,0,NULL,CRE,,NULL,1775
10047,51762,7017.6,7017.6,USD,CK 79886,2019-04-11 00:00:00,2019-04-11 00:00:00,0,1043,UAC,,NULL,1776
10048,51631,1655,1655,USD,OFFSET,2019-04-12 00:00:00,2019-04-12 12:01:22,0,0,OFF,,NULL,NULL
10049,51688,3704.4,3704.4,USD,CK 14112,2019-04-16 00:00:00,2019-04-16 00:00:00,0,NULL,CRE,,NULL,1777
10050,51694 / 4714,168.72,168.72,USD,CK 80076810,2019-04-16 00:00:00,2019-04-16 00:00:00,0,NULL,CRE,,NULL,1778
10051,51677,2728.9,2728.9,USD,CK 664066,2019-04-16 00:00:00,2019-04-16 00:00:00,0,NULL,CRE,,NULL,1779
10052,51678,5000.71,5000.71,USD,CK 664066,2019-04-16 00:00:00,2019-04-16 00:00:00,0,NULL,CRE,,NULL,1779
10053,51752,3325.18,3325.18,USD,CK 664066,2019-04-16 00:00:00,2019-04-16 00:00:00,0,NULL,CRE,,NULL,1779
10054,51737,1865.2,1865.2,USD,CK 664066,2019-04-16 00:00:00,2019-04-16 00:00:00,0,NULL,CRE,,NULL,1779
10055,51724,1942.52,1942.52,USD,CK 664066,2019-04-16 00:00:00,2019-04-16 00:00:00,0,NULL,CRE,,NULL,1779
10056,51776,4125,4125,USD,CK 35185,2019-04-16 00:00:00,2019-04-16 00:00:00,0,NULL,CRE,,NULL,1780
10057,51739,1414.24,1414.24,USD,CK 2565,2019-04-16 00:00:00,2019-04-16 00:00:00,0,NULL,CRE,,NULL,1781
10058,51753,7844,7844,USD,CK 35206,2019-04-16 00:00:00,2019-04-16 00:00:00,0,NULL,CRE,,NULL,1782
10059,51683,150,150,USD,CK 14805,2019-04-16 00:00:00,2019-04-16 00:00:00,0,NULL,CRE,,NULL,1784
10060,51667,8190,8190,USD,CK 35060,2019-04-16 00:00:00,2019-04-16 00:00:00,0,NULL,CRE,,NULL,1785
10061,51680,6664.13,6664.13,USD,CK 35060,2019-04-16 00:00:00,2019-04-16 00:00:00,0,NULL,CRE,,NULL,1785
10062,51744,-208.38,-208.38,USD,ck 96437,2019-04-17 00:00:00,2019-04-17 00:00:00,0,1046,UAC,,NULL,1786
10063,51709,4270.2,4270.2,USD,ck 96437,2019-04-17 00:00:00,2019-04-17 00:00:00,0,1046,UAC,,NULL,1786
10064,51738,4104.88,4104.88,USD,ck 96437,2019-04-17 00:00:00,2019-04-17 00:00:00,0,1046,UAC,,NULL,1786
10065,51710,1252.44,1252.44,USD,ck 96437,2019-04-17 00:00:00,2019-04-17 00:00:00,0,1046,UAC,,NULL,1786
10066,51721,2552.4,2552.4,USD,ck 96437,2019-04-17 00:00:00,2019-04-17 00:00:00,0,1046,UAC,,NULL,1786
10067,51714,2537.93,2537.93,USD,ck 96437,2019-04-17 00:00:00,2019-04-17 00:00:00,0,1046,UAC,,NULL,1786
10068,51715,537.45,537.45,USD,CK 36790,2019-04-19 00:00:00,2019-04-19 00:00:00,0,NULL,CRE,,NULL,1787
10069,51720,1658.4,1658.4,USD,ACH 4-19-19,2019-04-19 00:00:00,2019-04-19 00:00:00,0,NULL,CRE,,NULL,1788
10070,51685,1020.6,1020.6,USD,DEP4-23-19,2019-04-23 00:00:00,2019-04-23 00:00:00,0,NULL,CRE,,NULL,1789
10071,51747,3546,3546,USD,CK 72660,2019-04-23 00:00:00,2019-04-23 00:00:00,0,NULL,CRE,,NULL,1790
10072,51716,1976.06,1976.06,USD,CK 2603,2019-04-23 00:00:00,2019-04-23 00:00:00,0,NULL,CRE,,NULL,1791
10073,51757,3019.5,3019.5,USD,CK 102289,2019-04-23 00:00:00,2019-04-23 00:00:00,0,NULL,CRE,,NULL,1792
10074,51770,3907.67,3907.67,USD,CK 96760,2019-04-23 00:00:00,2019-04-23 00:00:00,0,NULL,CRE,,NULL,1793
10075,51775,4758.75,4758.75,USD,CK 96760,2019-04-23 00:00:00,2019-04-23 00:00:00,0,NULL,CRE,,NULL,1793
10076,51794,4020.72,4020.72,USD,CK 96760,2019-04-23 00:00:00,2019-04-23 00:00:00,0,NULL,CRE,,NULL,1793
10077,51806,2644.8,2644.8,USD,CK 96760,2019-04-23 00:00:00,2019-04-23 00:00:00,0,NULL,CRE,,NULL,1793
10078,51808,4569.28,4569.28,USD,CK 96760,2019-04-23 00:00:00,2019-04-23 00:00:00,0,NULL,CRE,,NULL,1793
10079,51781,2426.4,2426.4,USD,CK 96760,2019-04-23 00:00:00,2019-04-23 00:00:00,0,NULL,CRE,,NULL,1793
10080,51789,4178.4,4178.4,USD,CK 96760,2019-04-23 00:00:00,2019-04-23 00:00:00,0,NULL,CRE,,NULL,1793
10081,51819,3217.8,3217.8,USD,CK 96760,2019-04-23 00:00:00,2019-04-23 00:00:00,0,NULL,CRE,,NULL,1793
10082,51782,7929.6,7929.6,USD,CK 25169,2019-04-25 00:00:00,2019-04-25 00:00:00,0,NULL,CRE,,NULL,1794
10083,51761,2427.14,2427.14,USD,CK 664399,2019-04-25 00:00:00,2019-04-25 00:00:00,0,NULL,CRE,,NULL,1795
10084,51731,2104,2104,USD,WIRE3-28-19,2019-03-28 00:00:00,2019-03-28 00:00:00,0,NULL,CRE,,NULL,1796
10085,51733,2148,2148,USD,WIRE3-28-19,2019-03-28 00:00:00,2019-03-28 00:00:00,0,NULL,CRE,,NULL,1796
10086,51732,2152,2152,USD,WIRE3-28-19,2019-03-28 00:00:00,2019-03-28 00:00:00,0,NULL,CRE,,NULL,1796
10087,51708,268.5,268.5,USD,CK 80080880,2019-04-29 00:00:00,2019-04-29 00:00:00,0,NULL,CRE,,NULL,1797
10088,51715R,214.98,214.98,USD,CK 80083249,2019-05-03 00:00:00,2019-05-03 00:00:00,0,NULL,CRE,,NULL,1798
10089,51754,7930.95,7930.95,USD,CK 35546,2019-05-03 00:00:00,2019-05-03 00:00:00,0,NULL,CRE,,NULL,1799
10090,51765,3970.2,3970.2,USD,CK 005190,2019-05-03 00:00:00,2019-05-03 00:00:00,0,NULL,CRE,,NULL,1800
10091,51728,10848.28,10848.28,USD,WIRE4-26-19,2019-04-26 00:00:00,2019-04-26 00:00:00,0,NULL,CRE,,NULL,1801
10092,51766,5387.2,5387.2,USD,CK 5205,2019-05-13 00:00:00,2019-05-13 00:00:00,0,NULL,CRE,,NULL,1802
10093,51767,5101.2,5101.2,USD,CK 5205,2019-05-13 00:00:00,2019-05-13 00:00:00,0,NULL,CRE,,NULL,1802
10094,51755,2106.25,2106.25,USD,CK 206546,2019-05-13 00:00:00,2019-05-13 00:00:00,0,NULL,CRE,,NULL,1803
10095,51815,520.5,520.5,USD,CK 36807,2019-05-13 00:00:00,2019-05-13 00:00:00,0,NULL,CRE,,NULL,1804
10096,51820,6022.8,6022.8,USD,CK 20553,2019-05-13 00:00:00,2019-05-13 00:00:00,0,NULL,CRE,,NULL,1805
10097,51814,4278.96,4278.96,USD,CK 20553,2019-05-13 00:00:00,2019-05-13 00:00:00,0,NULL,CRE,,NULL,1805
10098,51774,502.05,502.05,USD,CK 36812,2019-05-13 00:00:00,2019-05-13 00:00:00,0,NULL,CRE,,NULL,1806
10099,51778,780.72,780.72,USD,CK 36812,2019-05-13 00:00:00,2019-05-13 00:00:00,0,NULL,CRE,,NULL,1806
10100,51760,1723.65,1723.65,USD,CK 665432,2019-05-13 00:00:00,2019-05-13 00:00:00,0,NULL,CRE,,NULL,1807
10101,51795,1541.1,1541.1,USD,CK 665432,2019-05-13 00:00:00,2019-05-13 00:00:00,0,NULL,CRE,,NULL,1807
10102,51786,1977.8,1977.8,USD,CK 665432,2019-05-13 00:00:00,2019-05-13 00:00:00,0,NULL,CRE,,NULL,1807
10103,51764,1520.4,1520.4,USD,CK 665432,2019-05-13 00:00:00,2019-05-13 00:00:00,0,NULL,CRE,,NULL,1807
10104,51787,2039.85,2039.85,USD,CK 665432,2019-05-13 00:00:00,2019-05-13 00:00:00,0,NULL,CRE,,NULL,1807
10105,51800,2724,2724,USD,CK 665432,2019-05-13 00:00:00,2019-05-13 00:00:00,0,NULL,CRE,,NULL,1807
10106,51780,4575.55,4575.55,USD,CK 665432,2019-05-13 00:00:00,2019-05-13 00:00:00,0,NULL,CRE,,NULL,1807
10107,51774A,200.82,200.82,USD,CK 80084517,2019-05-13 00:00:00,2019-05-13 00:00:00,0,NULL,CRE,,NULL,1808
10108,51745,2890.86,2890.86,USD,CK 222836,2019-05-13 00:00:00,2019-05-13 00:00:00,0,NULL,CRE,,NULL,1809
10109,51778A,195.18,195.18,USD,CK 80085587,2019-05-17 00:00:00,2019-05-17 00:00:00,0,NULL,CRE,,NULL,1810
10110,51772,3575.3,3575.3,USD,CK 665772,2019-05-17 00:00:00,2019-05-17 00:00:00,0,NULL,CRE,,NULL,1811
10111,51813,739.6,739.6,USD,CK 665772,2019-05-17 00:00:00,2019-05-17 00:00:00,0,NULL,CRE,,NULL,1811
10112,51817,2650.03,2650.03,USD,CK 665772,2019-05-17 00:00:00,2019-05-17 00:00:00,0,NULL,CRE,,NULL,1811
10113,51845,2291.2,2291.2,USD,CK 25286,2019-05-21 00:00:00,2019-05-21 00:00:00,0,NULL,CRE,,NULL,1812
10114,51822,725.1,725.1,USD,CK 666347,2019-05-21 00:00:00,2019-05-21 00:00:00,0,NULL,CRE,,NULL,1813
10115,51832,1938.1,1938.1,USD,CK 666347,2019-05-21 00:00:00,2019-05-21 00:00:00,0,NULL,CRE,,NULL,1813
10116,51821,2231.4,2231.4,USD,CK 666347,2019-05-21 00:00:00,2019-05-21 00:00:00,0,NULL,CRE,,NULL,1813
10117,51836,2321.6,2321.6,USD,CK 666347,2019-05-21 00:00:00,2019-05-21 00:00:00,0,NULL,CRE,,NULL,1813
10118,51742,22368.5,22368.5,USD,CK 20377,2019-05-21 00:00:00,2019-05-21 00:00:00,0,NULL,CRE,,NULL,1814
10119,51741,10906.48,10906.48,USD,CK 20366,2019-05-21 00:00:00,2019-05-21 00:00:00,0,NULL,CRE,,NULL,1815
10120,51816,3566.25,3566.25,USD,CK 102534,2019-05-24 00:00:00,2019-05-24 00:00:00,0,NULL,CRE,,NULL,1816
10121,51824,1926,1926,USD,CK 97102,2019-05-24 00:00:00,2019-05-24 00:00:00,0,NULL,CRE,,NULL,1817
10122,51839,1671.2,1671.2,USD,CK 97102,2019-05-24 00:00:00,2019-05-24 00:00:00,0,NULL,CRE,,NULL,1817
10123,51848,4257.84,4257.84,USD,CK 97102,2019-05-24 00:00:00,2019-05-24 00:00:00,0,NULL,CRE,,NULL,1817
10124,51834,4668,4668,USD,CK 97102,2019-05-24 00:00:00,2019-05-24 00:00:00,0,NULL,CRE,,NULL,1817
10125,51748,3320.8,3320.8,USD,CK 73044,2019-05-29 00:00:00,2019-05-29 00:00:00,0,NULL,CRE,,NULL,1818
10126,51768,3740,3740,USD,CK 5240,2019-05-30 00:00:00,2019-05-30 00:00:00,0,NULL,CRE,,NULL,1819
10127,51759,493.55,493.55,USD,CK 666882,2019-05-30 00:00:00,2019-05-30 00:00:00,0,NULL,CRE,,NULL,1820
10128,51851,2902.39,2902.39,USD,CK 666882,2019-05-30 00:00:00,2019-05-30 00:00:00,0,NULL,CRE,,NULL,1820
10129,51863,5993.69,5993.69,USD,CK 102590,2019-05-30 00:00:00,2019-05-30 00:00:00,0,NULL,CRE,,NULL,1821
10130,51840,11972.66,11972.66,USD,WIR 5-31-19,2019-05-31 00:00:00,2019-05-31 00:00:00,0,NULL,CRE,,NULL,1822
10131,51878,4125,4125,USD,CK 35282,2019-06-03 00:00:00,2019-06-03 00:00:00,0,NULL,CRE,,NULL,1823
10132,51864,3468,3468,USD,CK 73119,2019-06-03 00:00:00,2019-06-03 00:00:00,0,NULL,CRE,,NULL,1824
10133,51743,18772.88,18772.88,USD,CK 20382,2019-06-03 00:00:00,2019-06-03 00:00:00,0,NULL,CRE,,NULL,1825
10134,51849,1227.06,1227.06,USD,CK 4104,2019-06-03 00:00:00,2019-06-03 00:00:00,0,NULL,CRE,,NULL,1826
10135,51841,779.34,779.34,USD,CK 4104,2019-06-03 00:00:00,2019-06-03 00:00:00,0,NULL,CRE,,NULL,1826
10136,51873,5385.6,5385.6,USD,CK 97290,2019-06-06 00:00:00,2019-06-06 00:00:00,0,NULL,CRE,,NULL,1827
10137,51865,3901.8,3901.8,USD,CK 20666,2019-06-06 00:00:00,2019-06-06 00:00:00,0,NULL,CRE,,NULL,1828
10138,51830,1956,1956,USD,CK 667225,2019-06-06 00:00:00,2019-06-06 00:00:00,0,1047,UAC,,NULL,1830
10139,51833,2255.5,2255.5,USD,CK 667225,2019-06-06 00:00:00,2019-06-06 00:00:00,0,1047,UAC,,NULL,1830
10140,51861,2993.75,2993.75,USD,CK 667225,2019-06-06 00:00:00,2019-06-06 00:00:00,0,1047,UAC,,NULL,1830
10141,51843,778.05,778.05,USD,CK 667225,2019-06-06 00:00:00,2019-06-06 00:00:00,0,1047,UAC,,NULL,1830
