CRA_ID,CT_ID,RoleNm
1333,32500001,Primary
1336,32650001,Primary
1337,32700001,Primary
1340,32850001,Primary
1341,32900001,Primary
1342,32950001,Primary
1344,33050001,Primary
1345,33100001,Primary
1346,33150001,Primary
1347,33200001,Primary
1351,33400001,Primary
1353,33500001,Primary
1354,33550001,Primary
1355,33600001,Primary
1356,33650001,Primary
1357,33700001,Primary
1359,33800001,Primary
1360,33850001,Primary
1362,33950001,Primary
1365,34100001,Primary
1366,34150001,Primary
1368,34250001,Primary
1369,34300001,Primary
1370,34350001,Primary
1371,34400001,Primary
1373,34500001,Primary
1374,34550001,Primary
1375,34600001,Primary
1376,34650001,Primary
1380,34850001,Primary
1381,34900001,Primary
1383,35000001,Primary
1384,35050001,Primary
1385,35100001,Primary
1387,35200001,Primary
1388,35250001,Primary
1390,35350001,Primary
1392,35450001,Primary
1395,35600001,Primary
1396,35650001,Primary
1398,35750001,Primary
1399,35800001,Primary
1400,35850001,Primary
1401,35900001,Primary
1403,36000001,Primary
1406,36150001,Primary
1409,36300001,Primary
1410,36350001,Primary
1412,36450001,Primary
1418,36750001,Primary
1419,36800001,Primary
1420,36850001,Primary
1421,36900001,Primary
1422,36950001,Primary
1423,37000001,Primary
1424,37050001,Primary
1425,37100001,Primary
1430,37350001,Primary
1432,37450001,Primary
1434,37550001,Primary
1435,37600001,Primary
1436,37650001,Primary
1437,37700001,Primary
1438,37750001,Primary
1439,37800001,Primary
1440,37850001,Primary
1441,37900001,Primary
1442,37950001,Primary
1443,38000001,Primary
1445,38100001,Primary
1446,38150001,Primary
1447,38200001,Primary
1448,38250001,Primary
1449,38300001,Primary
1451,38400001,Primary
1452,38450001,Primary
1453,38500001,Primary
1454,38550001,Primary
1455,38600001,Primary
1456,38650001,Primary
1457,38700001,Primary
1458,38750001,Primary
1459,38800001,Primary
1460,38850001,Primary
1463,39000001,Primary
1464,39050001,Primary
1465,39100001,Primary
1469,39300001,Primary
1470,39350001,Primary
1471,39400001,Primary
1472,39450001,Primary
1473,39500001,Primary
1474,39550001,Primary
1476,39650001,Primary
1477,39700001,Primary
1478,39750001,Primary
1479,39800001,Primary
1481,40150001,Collections
1484,40300001,Collections
1485,40350001,Collections
1487,40450001,Collections
1488,40500001,Collections
1491,40650001,Collections
1492,40700001,Collections
1493,40750001,Collections
1494,40800001,Collections
1495,40850001,Collections
1496,40900001,Collections
1497,40950001,Collections
1498,41000001,Collections
1499,41050001,Collections
1500,41100001,Collections
1502,41200001,Collections
1503,41250001,Collections
1505,41350001,Collections
1507,41450001,Collections
1510,41600001,Collections
1511,41650001,Collections
1512,41700001,Collections
1513,41750001,Collections
1514,41800001,Collections
1515,41850001,Collections
1518,42000001,Collections
1519,42050001,Collections
1520,42100001,Collections
1521,42150001,Collections
1522,42200001,Collections
1523,42250001,Collections
1524,42300001,Collections
1525,42350001,Collections
1526,42400001,Collections
1527,42450001,Collections
1528,42500001,Collections
1529,42550001,Collections
1531,42650001,Collections
1532,42700001,Collections
1533,42750001,Collections
1535,42850001,Collections
1537,42950001,Collections
1538,43000001,Collections
1541,43150001,Collections
1542,43200001,Collections
1546,43400001,Collections
1547,43450001,Collections
1548,43500001,Collections
1549,43550001,Collections
1550,43600001,Collections
1551,43650001,Collections
1552,43700001,Collections
1553,43750001,Collections
1554,43800001,Collections
1555,43850001,Collections
1556,43900001,Collections
1557,43950001,Collections
1558,44000001,Collections
1559,44050001,Collections
1560,44100001,Collections
1561,44150001,Collections
1562,44200001,Collections
1565,44350001,Collections
1566,44400001,Collections
1567,44450001,Collections
1568,44500001,Collections
1569,44550001,Collections
1571,44650001,Collections
1573,44750001,Collections
1575,44850001,Collections
1576,44900001,Collections
1580,45100001,Collections
1581,45150001,Collections
1582,45200001,Collections
1584,45300001,Collections
1587,45450001,Collections
1588,45500001,Collections
1589,45550001,Collections
1590,45600001,Collections
1591,45650001,Collections
1592,45700001,Collections
1593,45750001,Collections
1594,45800001,Collections
1595,45850001,Collections
1598,46000001,Collections
1599,46050001,Collections
1600,46100001,Collections
1601,46150001,Collections
1602,46200001,Collections
1603,46250001,Collections
1604,46300001,Collections
1605,46350001,Collections
1606,46400001,Collections
1607,46450001,Collections
1608,46500001,Collections
1609,46550001,Collections
1610,46600001,Collections
1611,46650001,Collections
1612,46700001,Collections
1613,46750001,Collections
1614,46800001,Collections
1615,46850001,Collections
1617,46950001,Collections
1619,47050001,Collections
1620,47100001,Collections
1621,47150001,Collections
1624,47300001,Collections
1626,47400001,Collections
1627,47450001,Collections
1628,47500001,Collections
1629,47550001,Collections
1630,47600001,Collections
1631,47650001,Collections
1632,47700001,Collections
1637,48050001,RR
1638,47200001,Collections
1639,48100001,Billing
1643,48200001,Billing
