DetailID,BuySellNo,GradeID,InvoiceDesc,SWeight,SWeightUOM,SPrice,SPriceUOM,SAmount,PPrice,PUOM,PAmount,PWeight,PWeightUOM,RejectedSrcBuySellNo,SPO_ID,Specifications,SCurrencyCd,SFxAmount,PCurrencyCd,PFxAmount,BasisWt,BasisWtUOM,Color,Acid_Alkaline,InvClass,Diameter,DiameterUOM,RollWd,RollWdUOM,CoreSize,Caliper,SheetSize,SheetSizeUOM,SheetGrain,SealNo,IsMSF,IsPMSF,Mill,Brand,Finish,JobLot,MWeight,WarehouseLocation,WarehouseBin,DesignatedCpID,LinearLen,NoSheets,SPo,PPo,ForeignID,SMSFPrice,PMSFPrice,LotNo,UnitType,Units,RelNo,RollNo,ContainerNo,CoreSizeUOM,Condition,SheetSizeWd,SpeciesID,Comment,LengthUOM,WoodThickness,WoodWidth,WoodSzUOM,WoodLength,WoodLengthUOM,WoodGrade,WoodGrain,PPO_ID,GrossMT,AirDryPct,MoisturePct,CRVPrice,CRVPriceUOM,CRVWt,CRVWtUOM,CRVRefundAmt,CRVProcFeePrc,CRVProcFeeUOM,CRVProcFeeAmt,CRVUseRefundQty,CRVAdminFeeAmt,DesignatedSONO,UseAvgBaleWt,TareWt,TareWtPerUnit,TareWtUnitType,TareWtUnits,TareWt2,TareWtPerUnit2,TareWtUnitType2,TareWtUnits2,GrossWt,MSF,IsPerEachCnv,PerEachCnvPrice,ChkPrinted,IsReserved,IsReceived,IsItemReceived
12912,"28021       ","48             ",LDPE FILM 99 GRADE,39980.000000000000,L,0.20500,L,8195.90,0.18500000000000,L,7396.30,39980.000000000000,"L         ","NULL        ",24495,,USD,8195.90,USD,7396.30,0,"   ","          ","    ","          ",0,"  ",0,"  ",0.0000,"0                        ",,"  ","            ",1044162," ",F,"                              ","                              ","                              ",0,0.00000,"                    ","                    ","            ","0              ",0,"12964          ","97698          ",NULL,0,0,"                         ",B,39.00000,"8014842600               ","                         ","TGHU6927841                   ","  ","               ","          ","            ",,,0,0,"  ",0,"  ",,,24494,0.00000,0.0000,0.0000,0.00000," ",0.00000," ",0.00,0.00000," ",0.00,1,0.00,"               ",0.00000,0.00000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00000,0.00000,0,NULL,NULL,NULL,NULL,NULL
12913,"28022       ","47             ",LDPE 98% Clear Stretch Film,40560.000000000000,L,0.19000,L,7706.40,0.14500000000000,L,5887.00,40600.000000000000,"L         ","NULL        ",24497,,USD,7706.40,USD,5887.00,0,"   ","          ","    ","          ",0,"  ",0,"  ",0.0000,"0                        ",,"  ","            ",4617640," ",F,"                              ","                              ","                              ",0,0.00000,"                    ","                    ","            ","0              ",0,"12965          ","97699          ",NULL,0,0,"                         ",B,31.00000,"98206955                 ","                         ","HLXU8303279                   ","  ","               ","          ","            ",,,0,0,"  ",0,"  ",,,24496,0.00000,0.0000,0.0000,0.00000," ",0.00000," ",0.00,0.00000," ",0.00,1,0.00,"               ",0.00000,0.00000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00000,0.00000,0,NULL,NULL,NULL,NULL,NULL
12914,"28023       ","978            ",MRP - Grade B,33080.000000000000,L,0.05500,L,1819.40,0.01500000000000,L,496.20,33080.000000000000,"L         ","NULL        ",24341,LONG BEACH  Scaled by UCS 04-05-2017 Light Weight Deduction $0.01/lb,USD,1819.40,USD,496.20,0,"   ","          ","    ","          ",0,"  ",0,"  ",0.0000,"0                        ",,"  ","            ",00770458," ",F,"                              ","                              ","                              ",0,0.00000,"                    ","                    ","            ","0              ",0,"TOP032717      ","97700          ",NULL,0,0,"                         ",B,35.00000,"8014608980               ","                         ","TCNU9431719                   ","  ","               ","          ","            ",,,0,0,"  ",0,"  ",,,24498,0.00000,0.0000,0.0000,0.00000," ",0.00000," ",0.00,0.00000," ",0.00,1,0.00,"               ",0.00000,0.00000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00000,0.00000,0,NULL,NULL,NULL,NULL,NULL
12915,"28024       ","978            ",MRP - Grade B,34460.000000000000,L,0.06500,L,2239.90,0.03000000000000,L,1033.80,34460.000000000000,"L         ","NULL        ",24341,LONG BEACH Scaled by UCS 04-06-2017,USD,2239.90,USD,1033.80,0,"   ","          ","    ","          ",0,"  ",0,"  ",0.0000,"0                        ",,"  ","            ",00770414," ",F,"                              ","                              ","                              ",0,0.00000,"                    ","                    ","            ","0              ",0,"TOP032717      ","97701          ",NULL,0,0,"                         ",B,36.00000,"8014608980               ","                         ","CCLU7361199                   ","  ","               ","          ","            ",,,0,0,"  ",0,"  ",,,24499,0.00000,0.0000,0.0000,0.00000," ",0.00000," ",0.00,0.00000," ",0.00,1,0.00,"               ",0.00000,0.00000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00000,0.00000,0,NULL,NULL,NULL,NULL,NULL
12916,"28025       ","978            ",MRP - Grade B,36900.000000000000,L,0.06500,L,2398.50,0.04000000000000,L,1476.00,36900.000000000000,"L         ","NULL        ",24341,LONG BEACH Scaled by UCS 04-06-2017,USD,2398.50,USD,1476.00,0,"   ","          ","    ","          ",0,"  ",0,"  ",0.0000,"0                        ",,"  ","            ",00770416," ",F,"                              ","                              ","                              ",0,0.00000,"                    ","                    ","            ","0              ",0,"TOP032717      ","97702          ",NULL,0,0,"                         ",B,35.00000,"8014608980               ","                         ","DFSU7261904                   ","  ","               ","          ","            ",,,0,0,"  ",0,"  ",,,24500,0.00000,0.0000,0.0000,0.00000," ",0.00000," ",0.00,0.00000," ",0.00,1,0.00,"               ",0.00000,0.00000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00000,0.00000,0,NULL,NULL,NULL,NULL,NULL
12917,"28026       ","978            ",MRP - Grade B,38840.000000000000,L,0.05000,L,1942.00,0.04000000000000,L,1553.60,38840.000000000000,"L         ","NULL        ",24341,LONG BEACH Scaled by UCS 04-18-2017,USD,1942.00,USD,1553.60,0,"   ","          ","    ","          ",0,"  ",0,"  ",0.0000,"0                        ",,"  ","            ",00770041," ",F,"                              ","                              ","                              ",0,0.00000,"                    ","                    ","            ","0              ",0,"TOP032717      ","97703          ",NULL,0,0,"                         ",B,32.00000,"8014876170               ","                         ","CCLU7434994                   ","  ","               ","          ","            ",,,0,0,"  ",0,"  ",,,24501,0.00000,0.0000,0.0000,0.00000," ",0.00000," ",0.00,0.00000," ",0.00,1,0.00,"               ",0.00000,0.00000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00000,0.00000,0,NULL,NULL,NULL,NULL,NULL
12918,"28027       ","694            ",MRP-A  - CA,43300.000000000000,L,0.09500,L,4113.50,0.03000000000000,L,1299.00,43300.000000000000,"L         ","NULL        ",24348,LONG BEACH Scaled by New Age Global Trucking 03-31-2017,USD,4113.50,USD,1299.00,0,"   ","          ","    ","          ",0,"  ",0,"  ",0.0000,"0                        ",,"  ","            ",05235083," ",F,"                              ","                              ","                              ",0,0.00000,"                    ","                    ","            ","0              ",0,"TOP032717      ","97704          ",NULL,0,0,"                         ",B,35.00000,"8014763400               ","                         ","BMOU4733646                   ","  ","               ","          ","            ",,,0,0,"  ",0,"  ",,,24502,0.00000,0.0000,0.0000,0.00000," ",0.00000," ",0.00,0.00000," ",0.00,1,0.00,"               ",0.00000,0.00000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00000,0.00000,0,NULL,NULL,NULL,NULL,NULL
12919,"28028       ","694            ",MRP-A  - CA,37160.000000000000,L,0.09500,L,3530.20,0.06000000000000,L,2229.60,37160.000000000000,"L         ","NULL        ",24348,OAKLAND  Scaled by UCS 04-04-2017,USD,3530.20,USD,2229.60,0,"   ","          ","    ","          ",0,"  ",0,"  ",0.0000,"0                        ",,"  ","            ",0006653," ",F,"                              ","                              ","                              ",0,0.00000,"                    ","                    ","            ","0              ",0,"TOP032717      ","97705          ",NULL,0,0,"                         ",B,32.00000,"8014636000               ","                         ","TCNU7339711                   ","  ","               ","          ","            ",,,0,0,"  ",0,"  ",,,24503,0.00000,0.0000,0.0000,0.00000," ",0.00000," ",0.00,0.00000," ",0.00,1,0.00,"               ",0.00000,0.00000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00000,0.00000,0,NULL,NULL,NULL,NULL,NULL
12920,"28029       ","978            ",MRP Grade B,41080.000000000000,L,0.03000,L,1232.40,0.01000000000000,L,410.80,41080.000000000000,"L         ","NULL        ",24505,OAKLAND - SPECIAL REDUCED PRICING FOR THIS MATERIAL  Scaled by UCS 04-04-2017,USD,1232.40,USD,410.80,0,"   ","          ","    ","          ",0,"  ",0,"  ",0.0000,"0                        ",,"  ","            ",03411," ",F,"                              ","                              ","                              ",0,0.00000,"                    ","                    ","            ","0              ",0,"TOP033017SP2   ","97706          ",NULL,0,0,"                         ",B,35.00000,"8014636000               ","                         ","CCLU6622934                   ","  ","               ","          ","            ",,,0,0,"  ",0,"  ",,,24504,0.00000,0.0000,0.0000,0.00000," ",0.00000," ",0.00,0.00000," ",0.00,1,0.00,"               ",0.00000,0.00000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00000,0.00000,0,NULL,NULL,NULL,NULL,NULL
12921,"28030       ","33             ",HDPE Toters - No Wheels/Metal,39720.000000000000,L,0.13500,L,5362.20,0.10000000000000,L,3972.00,39720.000000000000,"L         ","NULL        ",24528,TACOMA Scaled by UCS 04-07-2017,USD,5362.20,USD,3972.00,0,"   ","          ","    ","          ",0,"  ",0,"  ",0.0000,"0                        ",,"  ","            ",P028261," ",F,"                              ","                              ","                              ",0,0.00000,"                    ","                    ","            ","0              ",0,"TOP033117SP    ","97707          ",NULL,0,0,"                         ",B,31.00000,"8014744210               ","                         ","CCLU7885133                   ","  ","               ","          ","            ",,,0,0,"  ",0,"  ",,,24506,0.00000,0.0000,0.0000,0.00000," ",0.00000," ",0.00,0.00000," ",0.00,1,0.00,"               ",0.00000,0.00000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00000,0.00000,0,NULL,NULL,NULL,NULL,NULL
